Data_Status,State,MSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2020P,OH,PAICD,17.27,21.7,21.17,23.14,23.75,17.32,14.42,16.63,19.25,18.47
2020P,OH,PARCD,23.57,28.67,26.9,27.17,29.83,21.64,21.01,25.18,26.09,23.07
2020P,OH,PATCD,21.55,27.42,27.92,27.6,27.03,19.13,16.98,19,21.32,20.66
2020P,OH,PATXD,21.77,27.7,28.25,27.99,27.34,19.37,17.17,19.19,21.63,20.83
2020P,OH,PCCCD,0,0,0,0,0,0,0,0,0,0
2020P,OH,PCEID,1.54,4.01,4.1,1.48,1.22,1.29,1.23,1.48,1.51,1.58
2020P,OH,PCICD,3.01,4.63,3.92,2.18,1.22,1.29,1.23,1.48,1.51,1.58
2020P,OH,PCTCD,2.5,4.4,3.99,1.78,1.22,1.29,1.23,1.48,1.51,1.58
2020P,OH,PCTXD,3.01,4.63,3.92,2.18,1.22,1.29,1.23,1.48,1.51,1.58
2020P,OH,PEACD,22.42,28.55,29.4,28.78,27.83,19.7,17.56,19.47,21.91,21.19
2020P,OH,PECCD,9.8,9.67,8.6,7.5,8.43,7.52,6.78,7.42,7.49,7.39
2020P,OH,PEEID,2.19,2.47,2.32,2.3,2.31,1.95,1.89,1.94,2.03,1.85
2020P,OH,PEICD,8.99,9.67,9.03,9.35,9.47,7.49,6.59,8,8.47,8.22
2020P,OH,PERCD,11.92,12.08,11.02,10.5,11.09,9.83,9.4,10.35,9.91,10.2
2020P,OH,PETCD,9.85,11.91,12.04,11.63,11.64,9.09,8.27,9.23,9.89,9.84
2020P,OH,PETXD,15.73,18.74,18.71,18,17.55,13.31,12.06,13.54,14.44,14.14
2020P,OH,PQACD,27.14,30.37,23.2,24.51,27.13,16.6,15.66,19.91,20.53,18.05
2020P,OH,PQCCD,19.51,22.83,16.8,17.9,20.15,11.28,10.49,14.07,14.59,11.62
2020P,OH,PQICD,19.94,23.01,16.5,17.69,20.12,10.54,9.69,13.55,14.12,10.91
2020P,OH,PQRCD,25.03,29.35,26.73,26.68,30.87,23.6,23.6,28.71,29.23,24.86
2020P,OH,PQTCD,23.41,27.16,23.08,23.36,26.96,19.26,18.71,23.38,24.31,20.44
2020P,OH,PQTXD,23.41,27.16,23.08,23.36,26.96,19.26,18.71,23.38,24.31,20.44
2020P,OH,RFACD,0,0,0,0,11.38,6.13,4.45,0,7.86,7.41
2020P,OH,RFCCD,10.36,15.55,16.83,0,0,0,0,0,0,0
2020P,OH,RFEID,0,0,0,0,0,0,0,0,0,0
2020P,OH,RFICD,10.36,15.55,16.83,16.61,15.92,10.25,7.3,9.78,11.09,11.3
2020P,OH,RFTCD,10.36,15.55,16.83,16.61,15.91,10.19,7.3,9.78,11.03,10.99
2020P,OH,RFTXD,10.36,15.55,16.83,16.61,15.91,10.19,7.3,9.78,11.03,10.99
2020P,OH,SNICD,24.1,30.44,31.33,30.47,29.27,21.53,19.21,21.57,23.98,23.01
2020P,OH,TEACD,22.42,28.55,29.39,28.78,27.83,19.7,17.56,19.47,21.91,21.19
2020P,OH,TECCD,18.37,18.16,17.8,16.41,17.15,16.99,16.94,17.1,16.73,16.09
2020P,OH,TEICD,11.45,11.82,11.34,11.46,11.82,10.55,9.86,10.95,11.26,10.79
2020P,OH,TERCD,19.55,19.7,19.99,18.97,19.38,19.31,19.44,19.82,19.14,19.06
2020P,OH,TETCD,18.11,20.43,20.49,19.88,19.76,16.57,15.61,16.72,17.46,16.98
2020P,OH,TETXD,18.11,20.43,20.49,19.88,19.76,16.57,15.61,16.72,17.46,16.98
2020P,OH,WDRCD,9.6,11.54,12.85,12.58,12.27,8.45,7.22,8.08,8.94,8.6
2020P,OH,WWCCD,9.6,11.54,12.85,12.58,11.21,6.65,6.58,7.27,8.06,7.91
2020P,OH,WWEID,2.4,2.44,2.21,2.26,2.73,2.62,2.54,2.4,2.22,2.33
2020P,OH,WWICD,2.43,2.53,2.39,2.29,2.76,2.62,2.14,1.99,1.84,2.03
2020P,OH,WWTCD,4.42,4.9,4.71,4.91,5.2,4.03,3.34,3.39,3.73,3.75
2020P,OH,WWTXD,4.75,5.26,5.36,5.57,5.8,4.4,3.54,3.66,4.16,4.12
2020P,OH,WXICD,33.44,35.56,34.62,33.37,33.91,32.88,32.66,32.69,32.94,29.79
2020P,TX,ARICD,12.39,14.43,15.81,15.14,15.29,12.59,8.91,9.02,11.63,13.29
2020P,TX,ARTCD,12.39,14.43,15.81,15.14,15.29,12.59,8.91,9.02,11.63,13.29
2020P,TX,ARTXD,12.39,14.43,15.81,15.14,15.29,12.59,8.91,9.02,11.63,13.29
2020P,TX,AVACD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,TX,AVTCD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,TX,AVTXD,25.19,31.64,33.04,32.71,33.16,24.86,21.62,24.13,27.04,25.57
2020P,TX,CLACD,0,0,0,0,0,0,0,0,0,0
2020P,TX,CLCCD,3.69,3.76,3.99,4.11,3.85,4.21,0,0,0,0
2020P,TX,CLEID,1.84,1.87,1.88,1.97,1.99,1.97,1.8,1.74,1.76,1.99
2020P,TX,CLICD,5.05,3.82,3.95,3.87,3.81,3.99,3.99,3.69,4.3,4.32
